instance,accuracy
159,76.72955974842768
160,76.25
161,76.3975155279503
162,75.92592592592592
163,76.07361963190183
164,76.21951219512195
165,76.36363636363636
166,76.50602409638554
167,76.64670658682634
168,76.19047619047619
169,76.33136094674556
170,76.47058823529412
171,76.60818713450293
172,76.74418604651163
173,76.30057803468208
174,76.4367816091954
175,76.57142857142857
176,76.70454545454545
177,76.8361581920904
178,76.40449438202248
179,76.53631284916202
180,76.66666666666667
181,76.24309392265194
182,76.37362637362638
183,76.50273224043715
184,76.6304347826087
185,76.75675675675676
186,76.34408602150538
187,75.93582887700535
188,76.06382978723404
189,76.19047619047619
190,76.3157894736842
191,76.43979057591623
192,76.5625
193,76.6839378238342
194,76.80412371134021
195,76.41025641025641
196,76.53061224489795
197,76.6497461928934
198,76.76767676767676
199,76.88442211055276
200,77.0
201,76.61691542288557
202,76.73267326732673
203,76.35467980295566
204,75.98039215686275
205,76.09756097560975
206,76.2135922330097
207,76.32850241545894
208,76.4423076923077
209,76.55502392344498
210,76.66666666666667
211,76.30331753554502
212,76.41509433962264
213,76.52582159624413
214,76.16822429906541
215,76.27906976744185
216,76.38888888888889
217,76.49769585253456
218,76.60550458715596
219,76.25570776255708
220,76.36363636363636
221,76.47058823529412
222,76.57657657657657
223,76.68161434977578
224,76.78571428571429
225,76.88888888888889
226,76.99115044247787
227,77.09251101321586
228,76.75438596491227
229,76.85589519650655
230,76.95652173913044
231,77.05627705627705
232,77.15517241379311
233,77.25321888412017
234,77.35042735042735
235,77.44680851063829
236,77.11864406779661
237,76.79324894514768
238,76.89075630252101
239,76.98744769874477
240,77.08333333333333
241,77.17842323651452
242,77.27272727272727
243,77.36625514403292
244,77.04918032786885
245,76.73469387755102
246,76.82926829268293
247,76.92307692307692
248,77.01612903225806
249,77.10843373493977
250,77.2
251,77.29083665338645
252,77.38095238095238
253,77.4703557312253
254,77.55905511811024
255,77.6470588235294
256,77.734375
257,77.82101167315174
258,77.90697674418605
259,77.60617760617761
260,77.6923076923077
261,77.77777777777777
262,77.86259541984732
263,77.9467680608365
264,78.03030303030303
265,78.11320754716981
266,78.19548872180451
267,77.90262172284645
268,77.61194029850746
269,77.69516728624535
270,77.77777777777777
271,77.85977859778598
272,77.94117647058823
273,77.65567765567765
274,77.73722627737226
275,77.81818181818181
276,77.53623188405797
277,77.25631768953069
278,76.97841726618705
279,76.70250896057348
280,76.42857142857143
281,76.15658362989323
282,76.24113475177305
283,76.32508833922262
284,76.40845070422536
285,76.14035087719299
286,75.87412587412588
287,75.9581881533101
288,76.04166666666667
289,76.12456747404845
290,76.20689655172414
291,76.28865979381443
292,76.36986301369863
293,76.10921501706484
294,76.19047619047619
295,76.27118644067797
296,76.35135135135135
297,76.0942760942761
298,75.83892617449665
299,75.91973244147157
300,76.0
301,76.0797342192691
302,75.82781456953643
303,75.9075907590759
304,75.65789473684211
305,75.73770491803279
306,75.81699346405229
307,75.8957654723127
308,75.64935064935065
309,75.72815533980582
310,75.80645161290323
311,75.56270096463022
312,75.64102564102564
313,75.39936102236422
314,75.47770700636943
315,75.55555555555556
316,75.63291139240506
317,75.39432176656152
318,75.47169811320755
319,75.23510971786834
320,75.0
321,75.0778816199377
322,74.84472049689441
323,74.92260061919505
324,75.0
325,75.07692307692308
326,74.84662576687117
327,74.92354740061162
328,74.6951219512195
329,74.46808510638297
330,74.54545454545455
331,74.62235649546828
332,74.6987951807229
333,74.77477477477477
334,74.8502994011976
335,74.6268656716418
336,74.4047619047619
337,74.48071216617211
338,74.2603550295858
339,74.04129793510324
340,73.82352941176471
341,73.90029325513197
