hb;tree_error;alt_error;error_diff
0,056426163;0,166841553;0,143250689;0,023590864
0,056348352;0,166783217;0,142857143;0,023926074
0,056270854;0,166724921;0,142465753;0,024259168
0,056240747;0,167016073;0,142076503;0,02493957
0,056210742;0,167307021;0,144414169;0,022892852
0,056180839;0,167597765;0,144021739;0,023576026
0,0561044;0,167539267;0,143631436;0,023907831
0,056074844;0,167829728;0,143243243;0,024586485
0,055998954;0,167771189;0,142857143;0,024914047
0,055923365;0,167712692;0,142473118;0,025239573
0,055848073;0,167654235;0,142091153;0,025563082
0,055773079;0,167595819;0,14171123;0,025884589
0,055698379;0,167537443;0,141333333;0,02620411
0,055623971;0,167479109;0,140957447;0,026521662
0,055549854;0,167420814;0,140583554;0,02683726
0,055476026;0,167362561;0,14021164;0,027150921
0,055402484;0,167304348;0,139841689;0,027462659
0,055329227;0,167246175;0,139473684;0,027772491
0,055256253;0,167188043;0,139107612;0,028080432
0,055183561;0,167129951;0,138743455;0,028386496
0,055111147;0,1670719;0,138381201;0,028690699
0,055039011;0,167013889;0,138020833;0,028993056
0,054967151;0,166955918;0,137662338;0,02929358
0,054895564;0,166897988;0,137305699;0,029592288
0,05482425;0,166840097;0,136950904;0,029889193
0,054753206;0,166782247;0,136597938;0,030184309
0,054682431;0,166724437;0,136246787;0,03047765
0,054611922;0,166666667;0,135897436;0,030769231
0,054541679;0,166608937;0,135549872;0,031059064
0,054471699;0,166551247;0,135204082;0,031347165
0,05440198;0,166493596;0,13740458;0,029089016
0,054332522;0,166435986;0,137055838;0,029380149
0,054263323;0,166378416;0,136708861;0,029669555
0,05419438;0,166320885;0,136363636;0,029957249
0,054125692;0,166263394;0,136020151;0,030243243
0,054102208;0,166551486;0,138190955;0,028360531
0,054078787;0,166839378;0,140350877;0,026488501
0,054010752;0,166781768;0,14;0,026781768
0,053942966;0,166724197;0,142144638;0,024579559
0,053875428;0,166666667;0,141791045;0,024875622
0,053808136;0,166609176;0,141439206;0,02516997
0,053741089;0,166551724;0,141089109;0,025462615
0,053674284;0,166494312;0,140740741;0,025753572
0,053607722;0,16643694;0,140394089;0,026042851
0,053585722;0,166724079;0,14004914;0,026674938
0,053519588;0,166666667;0,139705882;0,026960784
0,053453691;0,166609294;0,139364303;0,027244991
0,05338803;0,166551961;0,13902439;0,027527571
0,053322604;0,166494668;0,138686131;0,027808537
0,053257411;0,166437414;0,138349515;0,028087899
0,053236392;0,16672396;0,138014528;0,028709432
0,053215424;0,167010309;0,140096618;0,026913691
0,053150824;0,166952937;0,139759036;0,027193901
0,053086452;0,166895604;0,141826923;0,025068681
0,053022306;0,166838311;0,141486811;0,0253515
0,052958386;0,166781057;0,141148325;0,025632732
0,052894689;0,166723842;0,140811456;0,025912386
0,052831215;0,166666667;0,14047619;0,026190476
0,052767962;0,16660953;0,140142518;0,026467013
0,052748276;0,166895134;0,139810427;0,027084707
0,052685413;0,166837958;0,139479905;0,027358053
0,052665942;0,167123288;0,139150943;0,027972344
0,052603466;0,167066073;0,141176471;0,025889603
0,052541206;0,167008898;0,14084507;0,026163828
0,052479159;0,166951762;0,140515222;0,026436539
0,052417325;0,166894665;0,140186916;0,026707749
0,052355701;0,166837607;0,13986014;0,026977467
0,052294288;0,166780588;0,139534884;0,027245704
