instance,accuracy
143,72.72727272727273
144,72.91666666666667
145,73.10344827586206
146,73.28767123287672
147,73.46938775510205
148,73.64864864864865
149,73.8255033557047
150,73.33333333333333
151,72.8476821192053
152,73.02631578947368
153,72.54901960784314
154,72.72727272727273
155,72.25806451612904
156,72.43589743589743
157,72.61146496815287
158,72.78481012658227
159,72.95597484276729
160,73.125
161,73.2919254658385
162,73.45679012345678
163,73.61963190184049
164,73.17073170731707
165,73.33333333333333
166,72.89156626506023
167,73.05389221556887
168,73.21428571428571
169,72.7810650887574
170,72.94117647058823
171,73.09941520467837
172,73.25581395348837
173,73.41040462427746
174,72.98850574712644
175,73.14285714285714
176,73.29545454545455
177,73.44632768361582
178,73.59550561797752
179,73.74301675977654
180,73.88888888888889
181,74.03314917127072
182,73.62637362637362
183,73.77049180327869
184,73.91304347826087
185,74.05405405405405
186,74.19354838709677
187,74.33155080213903
188,74.46808510638297
189,74.07407407407408
190,74.21052631578948
191,74.3455497382199
192,74.47916666666667
193,74.61139896373057
194,74.74226804123711
195,74.87179487179488
196,74.48979591836735
197,74.61928934010152
198,74.74747474747475
199,74.37185929648241
200,74.5
201,74.12935323383084
202,74.25742574257426
203,74.38423645320196
204,74.50980392156863
205,74.63414634146342
206,74.75728155339806
207,74.8792270531401
208,75.0
209,74.64114832535886
210,74.28571428571429
211,74.40758293838863
212,74.52830188679245
213,74.64788732394366
214,74.76635514018692
215,74.88372093023256
216,75.0
217,75.11520737327189
218,75.22935779816514
219,75.34246575342466
220,75.45454545454545
221,75.56561085972851
222,75.67567567567568
223,75.33632286995515
224,75.0
225,75.11111111111111
226,74.77876106194691
227,74.8898678414097
228,74.56140350877193
229,74.67248908296943
230,74.78260869565217
231,74.45887445887446
232,74.13793103448276
233,73.81974248927038
234,73.93162393162393
235,74.04255319148936
236,74.15254237288136
237,74.26160337552743
238,74.36974789915966
239,74.47698744769875
240,74.58333333333333
241,74.27385892116183
242,74.3801652892562
243,74.07407407407408
244,74.18032786885246
245,74.28571428571429
246,74.39024390243902
247,74.49392712550608
248,74.59677419354838
249,74.29718875502007
250,74.4
251,74.5019920318725
252,74.60317460317461
253,74.70355731225297
254,74.40944881889764
255,74.50980392156863
256,74.609375
257,74.70817120622569
258,74.4186046511628
259,74.51737451737452
260,74.23076923076923
261,74.32950191570882
262,74.04580152671755
263,74.1444866920152
264,74.24242424242425
265,74.33962264150944
266,74.43609022556392
267,74.53183520599251
268,74.6268656716418
269,74.72118959107807
270,74.81481481481481
271,74.90774907749078
272,75.0
273,75.0915750915751
274,75.18248175182482
275,75.27272727272727
276,75.3623188405797
277,75.45126353790614
278,75.53956834532374
279,75.62724014336918
280,75.35714285714286
281,75.44483985765125
282,75.53191489361703
283,75.61837455830388
284,75.35211267605634
285,75.08771929824562
286,75.17482517482517
287,74.91289198606272
288,75.0
289,75.08650519031141
290,74.82758620689656
291,74.91408934707904
292,74.65753424657534
293,74.74402730375427
294,74.82993197278911
295,74.91525423728814
296,75.0
297,75.08417508417509
298,75.16778523489933
299,75.25083612040133
300,75.33333333333333
301,75.41528239202658
302,75.49668874172185
303,75.57755775577557
304,75.65789473684211
305,75.73770491803279
306,75.81699346405229
307,75.57003257328991
308,75.32467532467533
309,75.08090614886731
310,74.83870967741936
311,74.91961414790997
312,75.0
313,75.07987220447285
314,74.8407643312102
315,74.92063492063492
316,75.0
317,74.76340694006309
318,74.84276729559748
319,74.92163009404389
320,74.6875
321,74.76635514018692
322,74.84472049689441
323,74.92260061919505
324,74.69135802469135
325,74.76923076923077
326,74.84662576687117
327,74.92354740061162
328,75.0
329,75.07598784194529
330,75.15151515151516
331,74.92447129909365
332,75.0
333,75.07507507507508
334,75.1497005988024
335,75.22388059701493
336,75.29761904761905
337,75.37091988130564
338,75.44378698224853
339,75.51622418879056
340,75.29411764705883
341,75.366568914956
342,75.14619883040936
343,75.21865889212827
344,75.0
345,75.07246376811594
346,75.14450867052022
347,75.21613832853026
348,75.28735632183908
349,75.35816618911174
350,75.42857142857143
351,75.4985754985755
352,75.56818181818181
353,75.35410764872522
354,75.42372881355932
355,75.21126760563381
356,75.28089887640449
357,75.35014005602241
358,75.13966480446928
359,75.20891364902506
360,75.27777777777777
361,75.34626038781164
362,75.41436464088397
363,75.48209366391184
364,75.54945054945055
365,75.34246575342466
366,75.40983606557377
367,75.47683923705722
368,75.54347826086956
369,75.60975609756098
370,75.4054054054054
371,75.47169811320755
372,75.53763440860214
373,75.33512064343164
374,75.40106951871658
375,75.46666666666667
376,75.53191489361703
377,75.59681697612731
378,75.66137566137566
379,75.72559366754618
380,75.78947368421052
381,75.85301837270342
382,75.91623036649214
383,75.97911227154047
384,76.04166666666667
385,76.1038961038961
386,76.16580310880829
387,76.22739018087856
388,76.28865979381443
389,76.09254498714652
390,75.8974358974359
391,75.95907928388746
392,75.76530612244898
393,75.82697201017811
394,75.88832487309645
395,75.9493670886076
396,75.75757575757575
397,75.56675062972292
398,75.62814070351759
399,75.68922305764411
400,75.75
401,75.81047381546135
402,75.62189054726367
403,75.68238213399503
404,75.74257425742574
405,75.80246913580247
406,75.86206896551724
407,75.92137592137593
408,75.98039215686275
409,75.79462102689486
410,75.85365853658537
411,75.669099756691
412,75.48543689320388
413,75.54479418886199
414,75.3623188405797
415,75.42168674698796
416,75.48076923076923
417,75.53956834532374
418,75.59808612440192
419,75.41766109785203
420,75.47619047619048
421,75.53444180522565
422,75.59241706161137
423,75.65011820330969
424,75.47169811320755
425,75.52941176470588
426,75.5868544600939
427,75.64402810304449
428,75.70093457943925
429,75.75757575757575
430,75.81395348837209
431,75.63805104408353
432,75.69444444444444
433,75.75057736720554
434,75.80645161290323
435,75.86206896551724
436,75.91743119266054
437,75.97254004576659
438,76.02739726027397
439,75.85421412300683
